Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Fee,Shipment Status,Date Created,Date Delivered,Duration,Notes
KPC 23930A-00214,GR022,,1.52,316,"₱12,160.00",With Pier Gatepass,"Sep 8, 2025",,,
KPC 23930A-00213,GQ051,2,0.32,72,"₱2,560.00",Delivered,"Aug 18, 2025","Sep 08, 2025",21.00,
KPC 23930A-00212,GQ034,12,1.9,432,"₱15,200.00",For Pickup,"Aug 13, 2025","Sep 20, 2025",38.00,
KPC 23930A-00211,GP089,22,3.52,734,"₱28,160.00",Delivered,"Jul 30, 2025","Aug 23, 2025",24.00,
KPC 23930A-00210,GP034,7,1.12,203,"₱8,960.00",Delivered,"Jul 14, 2025","Aug 05, 2025",22.00,
KPC 23930A-00209,GP029,12,1.92,470,"₱16,320.00",Delivered,"Jul 12, 2025","Aug 01, 2025",20.00,
KPC 23930A-00208,GP020,5,0.84,175,"₱7,140.00",Delivered,"Jul 8, 2025","Jul 30, 2025",22.00,
KPC 23930A-00207,GO095,11,1.4,385,"₱10,500.00",Delivered,"Jun 30, 2025","Jul 18, 2025",18.00,
KPC 23930A-00206,GO055,10,1.6,330,"₱12,800.00",Delivered,"Jun 16, 2025",,,
KPC 23930A-00205,SS010,4,0.8,135,"₱6,000.00",Delivered,"Jun 13, 2025",,,
KPC 23930A-00204,GO039,7,1.22,230,"₱9,760.00",Delivered,"Jun 10, 2025","Jun 28, 2025",18.00,
KPC 23930A-00203,GO035,9,1.6,298,"₱12,800.00",Delivered,"Jun 9, 2025","Jun 28, 2025",19.00,
KPC 23930A-00202,GO002,6,1,240,"₱7,500.00",Delivered,"May 28, 2025","Jun 23, 2025",26.00,
KPC 23930A-00201,GN061,12,2.2,410,"₱18,700.00",Delivered,"May 14, 2025","Jun 05, 2025",22.00,
KPC 23930A-00200,YD016,1,0.13,23,"₱1,270.00",Delivered,"May 13, 2025","Jun 04, 2025",22.00,
KPC 23930A-00199,YD013,1,0.2,32,"₱1,500.00",Delivered,"May 8, 2025","Jun 04, 2025",27.00,
KPC 23930A-00198,GN033,11,1.8,370,"₱15,300.00",Delivered,"May 5, 2025","May 29, 2025",24.00,
KPC 23930A-00197,YC075,1,0.2,43,"₱1,500.00",Delivered,"Apr 24, 2025","May 29, 2025",35.00,
KPC 23930A-00196,GM094,10,1.5,330,"₱12,750.00",Delivered,"Apr 21, 2025","May 16, 2025",25.00,
KPC 23930A-00195,GM062,9,1.41,342,"₱10,575.00",Delivered,"Apr 12, 2025","May 07, 2025",25.00,
KPC 23930A-00194,GM047,3,0.7,106,"₱5,950.00",Delivered,"Apr 7, 2025","May 03, 2025",26.00,
KPC 23930A-00193,YC002,2,0.24,55,"₱1,800.00",Delivered,"Apr 2, 2025","Apr 24, 2025",22.00,
KPC 23930A-00192,YB092,4,0.51,104,"₱3,825.00",Delivered,"Mar 29, 2025","Apr 21, 2025",23.00,
KPC 23930A-00191,GM008,10,1.9,330,"₱16,150.00",Delivered,"Mar 25, 2025","Apr 12, 2025",18.00,
KPC 23930A-00190,SR042,1,0.2,25,"₱1,500.00",Delivered,"Mar 24, 2025",,,
KPC 23930A-00189,SR039,5,0.78,270,"₱5,850.00",Delivered,"Mar 21, 2025","Apr 08, 2025",18.00,
KPC 23930A-00188,YB043,3,0.43,79,"₱3,225.00",Delivered,"Mar 18, 2025","Apr 23, 2025",36.00,
KPC 23930A-00187,GL082,9,1.32,310,"₱9,900.00",Delivered,"Mar 18, 2025","Apr 04, 2025",17.00,
KPC 23930A-00186,GL071,13,2.3,455,"₱17,250.00",Delivered,"Mar 14, 2025","Apr 23, 2025",40.00,
KPC 23930A-00185,SR025,1,0.2,30,"₱1,500.00",Delivered,"Mar 6, 2025","Apr 12, 2025",37.00,
KPC 23930A-00184,GL044,11,1.6,385,"₱12,800.00",Delivered,"Mar 5, 2025","Mar 25, 2025",20.00,
KPC 23930A-00183,GL011,5,0.8,215,"₱6,000.00",Delivered,"Feb 22, 2025","Mar 10, 2025",16.00,
KPC 23930A-00182,SR005,18,3.1,900,"₱23,250.00",Delivered,"Feb 13, 2025","Mar 01, 2025",16.00,
KPC 23930A-00181,KK081,7,1.1,241,"₱8,250.00",Delivered,"Feb 10, 2025","Mar 04, 2025",22.00,
KPC 23930A-00180,CQ099,10,1.56,315,"₱11,700.00",Delivered,"Jan 20, 2025","Feb 13, 2025",24.00,
KPC 23930A-00179,KK043,3,0.42,63,"₱3,360.00",Delivered,"Jan 15, 2025","Feb 22, 2025",38.00,
KPC 23930A-00178,PZ090,2,0.3,68,"₱2,250.00",Delivered,"Jan 13, 2025","Feb 13, 2025",31.00,
KPC 23930A-00177,KK022,7,1.57,243,"₱12,560.00",Delivered,"Jan 11, 2025","Feb 22, 2025",42.00,
KPC 23930A-00176,PZ080,5,0.71,113,"₱5,325.00",Delivered,"Jan 10, 2025","Feb 09, 2025",30.00,
KPC 23930A-00175,KK003,12,2.2,396,"₱17,600.00",Delivered,"Jan 6, 2025","Feb 01, 2025",26.00,
KPC 23930A-00174,PZ021,4,0.71,120,"₱5,325.00",Delivered,"Dec 21, 2024","Feb 01, 2025",42.00,
KPC 23930A-00173,KJ056,12,2.1,408,"₱16,800.00",Delivered,"Dec 21, 2024","Jan 24, 2025",34.00,
KPC 23930A-00172,KJ034,6,1.2,228,"₱9,600.00",Delivered,"Dec 14, 2024","Jan 20, 2025",37.00,
KPC 23930A-00171,PY089,7,1.1,185,"₱8,250.00",Delivered,"Dec 10, 2024","Jan 20, 2025",41.00,
KPC 23930A-00170,KI085,24,4.24,816,"₱33,920.00",Delivered,"Nov 28, 2024","Jan 11, 2025",44.00,
KPC 23930A-00169,PY015,3,0.61,216,"₱4,575.00",Delivered,"Nov 18, 2024","Dec 17, 2024",29.00,