Posting Date,Product,INTENTED OUTPUT - Product Code
010425,Milkberry / Beau Et. Belle,Milkberry / Beau Et. Belle (MBEB-010425)
012025,Frogsuits With Hanger,Frogsuits With Hanger (FWH-012025)
012025,Bibs,Bibs (B-012025)
012125,Premium Tops,Premium Tops (PT-012125)
012125,Pajama Set,Pajama Set (PS-012125)
120424,H&M Organic Longsleeves Onesie,H&M Organic Longsleeves Onesie (HOLO-120424)
012525,Sleeveless Onesie,Sleeveless Onesie (SO-012525)
012525,Tex Hooded Baby Towelette,Tex Hooded Baby Towelette (THBT-012525)
012525,Carters Pajama,Carters Pajama (CP-012525)
020225,Baby Short,Baby Short (BS-020225)
020225,Baby Pants,Baby Pants (BP-020225)
012425,Disney Jogger Pants,Disney Jogger Pants (DJP-012425)
012425,Tahari Dress,Tahari Dress (TD-012425)
012425,Organic Jessica Simpson Summer Dress,Organic Jessica Simpson Summer Dress (OJSSD-012425)
021025,Bonnets,Bonnets (B-021025)
021025,Baby Pants,Baby Pants (BP-021025)
021025,Frogsuits,Frogsuits (F-021025)
012825,H&M Organic Pants,H&M Organic Pants (HOP-012825)
012825,H&M Organic Shorts,H&M Organic Shorts (HOS-012825)
012825,H&M Organic Jogger,H&M Organic Jogger (HOJ-012825)
012825,H&M Ribbed Leggings,H&M Ribbed Leggings (HRL-012825)
012825,H&M Rompers,H&M Rompers (HR-012825)
012825,H&M Baby Tops,H&M Baby Tops (HBT-012825)
012825,H&M Skirt,H&M Skirt (HS-012825)
012825,Premium Footed Pants,Premium Footed Pants (PFP-012825)
012825,Guess Frogsuit,Guess Frogsuit (GF-012825)
012825,Milkberry Frogsuit,Milkberry Frogsuit (MF-012825)
012825,Frogsuits With Accessories,Frogsuits With Accessories (FWA-012825)
012825,2-PC Frogsuit,2-PC Frogsuit (2F-012825)
012825,3-PC Set,3-PC Set (3S-012825)
021425,Mixed Tops,Mixed Tops (MT-021425)
020525,Organic Baby Polo,Organic Baby Polo (OBP-020525)
020725,Organic Tops,Organic Tops (OT-020725)
020425,Organic Pants,Organic Pants (OP-020425)
020425,Organic Shorts,Organic Shorts (OS-020425)
011925,Organic Longsleeves Onesies,Organic Longsleeves Onesies (OLO-011925)
011925,Organic Shortsleeves Onesies,Organic Shortsleeves Onesies (OSO-011925)
,Carters Baby Shorts,Carters Baby Shorts (CBS-)
020725,Champion Shirts,Champion Shirts (CS-020725)
022225,Hallmark Frogsuit,Hallmark Frogsuit (HF-022225)
022225,Corduroy Shorts,Corduroy Shorts (CS-022225)
022425,Frogsuits,Frogsuits (F-022425)
022825,Organic Dress,Organic Dress (OD-022825)
030125,Organic Sleeveless Tops,Organic Sleeveless Tops (OST-030125)
030425,Zutano Frogsuit,Zutano Frogsuit (ZF-030425)
030425,Zutano Reversible Jacket Set,Zutano Reversible Jacket Set (ZRJS-030425)
032025,Baby Dress,Baby Dress (BD-032025)
032025,Champion 2-PC Set,Champion 2-PC Set (C2S-032025)
031525,Zutano 2-PC Set,Zutano 2-PC Set (Z2S-031525)
032025,Carter's Tops,Carter's Tops (CT-032025)
032025,Premium Footed Pants,Premium Footed Pants (PFP-032025)
031325,Premium Sleeveless Onesie,Premium Sleeveless Onesie (PSO-031325)
040125,H&M Sleeveless Tops,H&M Sleeveless Tops (HST-040125)
040425,H&M Organic Longsleeves Tops,H&M Organic Longsleeves Tops (HOLT-040425)
032125,Old Navy Shorts,Old Navy Shorts (ONS-032125)
032125,CK Shortsleeves Onesie,CK Shortsleeves Onesie (CSO-032125)
032125,CK Longsleeves Onesie,CK Longsleeves Onesie (CLO-032125)
031325,Premium Shortsleeves Onesie,Premium Shortsleeves Onesie (PSO-031325)
031325,Premium Longsleeves Onesie,Premium Longsleeves Onesie (PLO-031325)
031325,Premium Onesie Dress,Premium Onesie Dress (POD-031325)
031425,Premium Mixed Brands Onesies,Premium Mixed Brands Onesies (PMBO-031425)
031725,Regular Mixed Brands Onesies,Regular Mixed Brands Onesies (RMBO-031725)
032025,Organic Shortsleeves Onesies,Organic Shortsleeves Onesies (OSO-032025)
032025,Organic Longsleeves Onesies,Organic Longsleeves Onesies (OLO-032025)
033125,Nautica Romper,Nautica Romper (NR-033125)
032425,Milkberry Onesie + Socks,Milkberry Onesie + Socks (MOS-032425)
032425,Milkberry Headband,Milkberry Headband (MH-032425)
040125,Little Me Romper,Little Me Romper (LMR-040125)
,Romper,Romper (R-)
041025,Jumper Set,Jumper Set (JS-041025)
040525,H&M Shorts,H&M Shorts (HS-040525)
040125,Kit Pearl Onesie,Kit Pearl Onesie (KPO-040125)
041025,Dress,Dress (D-041025)
040125,Disney Frogsuit,Disney Frogsuit (DF-040125)
040725,Romper,Romper (R-040725)
032425,Milkberry 3-PC Dress,Milkberry 3-PC Dress (M3D-032425)
041425,Kids Romper,Kids Romper (KR-041425)
041325,Hooded Towel,Hooded Towel (HT-041325)
041425,Non-Footed Frogsuit,Non-Footed Frogsuit (NF-041425)
032425,Tops,Tops (T-032425)
032525,Dress With Hanger,Dress With Hanger (DWH-032525)
032425,4-PC Set,4-PC Set (4S-032425)
040625,Bear Paw Snugfit,Bear Paw Snugfit (BPS-040625)
041125,Dymples Longsleeves Onesie,Dymples Longsleeves Onesie (DLO-041125)
041125,Dymples Sleeveless Onesie,Dymples Sleeveless Onesie (DSO-041125)
041125,Baby Berry Tops,Baby Berry Tops (BBT-041125)
041125,Disney Longsleeves Tops,Disney Longsleeves Tops (DLT-041125)
041125,Dymples Shortsleeve Onesie,Dymples Shortsleeve Onesie (DSO-041125)
041125,Dymples Sleeveless Tops,Dymples Sleeveless Tops (DST-041125)
041125,Dymples Footed Pants,Dymples Footed Pants (DFP-041125)
041125,Baby Berry/Dymples Shorts,Baby Berry/Dymples Shorts (BBS-041125)
041125,Baby Berry Romper,Baby Berry Romper (BBR-041125)
041125,Baby Berry Longsleeves Onesie,Baby Berry Longsleeves Onesie (BBLO-041125)
041125,Baby Berry Shortsleeves Onesie,Baby Berry Shortsleeves Onesie (BBSO-041125)
041125,Baby Berry Frogsuit,Baby Berry Frogsuit (BBF-041125)
041225,Btween Hair Accessory,Btween Hair Accessory (BHA-041225)
041425,Romper With Hanger,Romper With Hanger (RWH-041425)
042325,Mixed Set,Mixed Set (MS-042325)
042325,Bonnets,Bonnets (B-042325)
042325,Bibs,Bibs (B-042325)
042425,Romper,Romper (R-042425)
042525,Bibs Batch 2,Bibs Batch 2 (BB2-042525)
042525,Romper Batch 3,Romper Batch 3 (RB3-042525)
050225,Rabbit Bear Dress 2-PC Set,Rabbit Bear Dress 2-PC Set (RBD2S-050225)
050225,Rabbit Bear 3-PC Girl Set,Rabbit Bear 3-PC Girl Set (RB3GS-050225)
050225,Rabbit Bear 3-PC Boy Set,Rabbit Bear 3-PC Boy Set (RB3BS-050225)
051425,Sleeveless Onesie,Sleeveless Onesie (SO-051425)
051725,Rabbit+Bear,Rabbit+Bear (R-051725)
052325,Baby Berry 2 PC set,Baby Berry 2 PC set (BB2Ps-052325)
053125,Milkberry Pants,Milkberry Pants (MP-053125)
053125,Milkberry Shorts,Milkberry Shorts (MS-053125)
052325,Banboo Cotton Tops,Banboo Cotton Tops (BCT-052325)
052325,Milkberry 2-PC Top And Short Set,Milkberry 2-PC Top And Short Set (M2TASS-052325)
052325,Milkberry 2-PC Set,Milkberry 2-PC Set (M2S-052325)
053125,Cotton On Baby Sweatshirt,Cotton On Baby Sweatshirt (COBS-053125)
053125,Cotton On Baby Tops,Cotton On Baby Tops (COBT-053125)
053125,Cotton On Pants,Cotton On Pants (COP-053125)
053125,Cotton On Jogger,Cotton On Jogger (COJ-053125)
053125,Cotton On Shorts,Cotton On Shorts (COS-053125)
060725,Mixed Tops,Mixed Tops (MT-060725)
053125,Cotton On & Milky Romper,Cotton On & Milky Romper (CO&MR-053125)
060725,Billieblush Poncho Towel,Billieblush Poncho Towel (BPT-060725)
060725,Billieblush Romper,Billieblush Romper (BR-060725)
060225,Dymples Onesie Dress,Dymples Onesie Dress (DOD-060225)
071025,Yamp Zippered Romper,Yamp Zippered Romper (YZR-071025)
061225,Onesie 3-PC Set,Onesie 3-PC Set (O3S-061225)
060225,Ruffled Onesie,Ruffled Onesie (RO-060225)
053125,Ruffled Frogsuit,Ruffled Frogsuit (RF-053125)
053125,Ruffled Zippered Frogsuit,Ruffled Zippered Frogsuit (RZF-053125)
060725,Milkberry 2PC Girl Set,Milkberry 2PC Girl Set (M2GS-060725)
060725,Guess Frogsuit,Guess Frogsuit (GF-060725)
053125,Nine West 3PC Onesie,Nine West 3PC Onesie (NW3O-053125)
060725,H&M 2PC Set,H&M 2PC Set (H2S-060725)
032125,R+B Frogsuit And Romper Set,R+B Frogsuit And Romper Set (RFARS-032125)
031425,Baby Carrier,Baby Carrier (BC-031425)
060525,Little Beggining Romper,Little Beggining Romper (LBR-060525)
060525,4-PC set,4-PC set (4s-060525)
060525,Disney 3-PC set,Disney 3-PC set (D3s-060525)
060525,Kotton Kandy 3PC- 4PC set,Kotton Kandy 3PC- 4PC set (KK34s-060525)
060725,Zippered Frogsuit,Zippered Frogsuit (ZF-060725)
060725,Ruffled Sleeveless Onesie,Ruffled Sleeveless Onesie (RSO-060725)
060725,H&M Organic Rompers,H&M Organic Rompers (HOR-060725)
060725,H&M Organic Jumper,H&M Organic Jumper (HOJ-060725)
060725,H&M Organic Polo Shirts,H&M Organic Polo Shirts (HOPS-060725)
060725,H&M Organic Polo Set,H&M Organic Polo Set (HOPS-060725)
060725,H&M Organic Set,H&M Organic Set (HOS-060725)
060725,H&M Long Overalls,H&M Long Overalls (HLO-060725)
060725,Nicole Miller Onesie,Nicole Miller Onesie (NMO-060725)
060725,H&M 2-PC Set,H&M 2-PC Set (H2S-060725)
070225,Milkbery 3-PC Set,Milkbery 3-PC Set (M3S-070225)
060725,H&M Pants,H&M Pants (HP-060725)
060725,H&M Hoodie Blouse,H&M Hoodie Blouse (HHB-060725)
070925,Chickpea Onesie,Chickpea Onesie (CO-070925)
070525,Rabbit Bear Tops,Rabbit Bear Tops (RBT-070525)
070625,Emily Oliver Rompers,Emily Oliver Rompers (EOR-070625)
070525,Organic Romper,Organic Romper (OR-070525)
070525,Rabbit Bear Romper,Rabbit Bear Romper (RBR-070525)
070525,Organic Dress,Organic Dress (OD-070525)
070525,Rabbit Bear 2-PC Set,Rabbit Bear 2-PC Set (RB2S-070525)
070525,Rabbit Bear Jumper 2-PC Set,Rabbit Bear Jumper 2-PC Set (RBJ2S-070525)
070525,Rabbit Beart Girls 2-PC Set,Rabbit Beart Girls 2-PC Set (RBG2S-070525)
070525,Rabbit Bear Boys 2-PC Set,Rabbit Bear Boys 2-PC Set (RBB2S-070525)
080425,Mixed Tops,Mixed Tops (MT-080425)
070825,H&M Shorts,H&M Shorts (HS-070825)
070525,H&M Baby Jogger,H&M Baby Jogger (HBJ-070525)
070525,H&M Jogger,H&M Jogger (HJ-070525)
070825,H&M Organic Pants,H&M Organic Pants (HOP-070825)
070825,H&M Organic Polo,H&M Organic Polo (HOP-070825)
070825,Rabbit Bear Long Sleeves Tops,Rabbit Bear Long Sleeves Tops (RBLST-070825)
,Rabbit Bear Organic Tops,Rabbit Bear Organic Tops (RBOT-)
070825,Rabbit Bear Pants,Rabbit Bear Pants (RBP-070825)
070525,Rabbit Bear Undies,Rabbit Bear Undies (RBU-070525)
070825,Rabbit Bear Shorts,Rabbit Bear Shorts (RBS-070825)
070825,Rabbit Bear Long Sleeves Dress,Rabbit Bear Long Sleeves Dress (RBLSD-070825)
070525,Rabbit Bear Quilted Long Sleeves Dress,Rabbit Bear Quilted Long Sleeves Dress (RBQLSD-070525)
070825,Rabbit Bear Polo,Rabbit Bear Polo (RBP-070825)
070825,H&M Organic Shorts,H&M Organic Shorts (HOS-070825)
070825,Rabbit Bear Jogger & Pants,Rabbit Bear Jogger & Pants (RBJ&P-070825)
,R+B Pants,R+B Pants (RP-)
071225,Baby Yamp! Onesie,Baby Yamp! Onesie (BYO-071225)
071525,Chickpea Onesie Batch 2,Chickpea Onesie Batch 2 (COB2-071525)
072425,Mixed Brands Onesie,Mixed Brands Onesie (MBO-072425)
080725,Mixed Brands Onesie,Mixed Brands Onesie (MBO-080725)
081625,Btween 2-PC Dress,Btween 2-PC Dress (B2D-081625)
081625,Rare Edition 2-PC Set,Rare Edition 2-PC Set (RE2S-081625)
081625,H&M 2-PC Set,H&M 2-PC Set (H2S-081625)
081625,H&M Lace Top & Skirt 2-PC Set,H&M Lace Top & Skirt 2-PC Set (HLT&S2S-081625)
081825,H&M Polo And Pants  2-PC Set,H&M Polo And Pants  2-PC Set (HPAP2S-081825)
090525,Disney Non-Footed Frogsuit,Disney Non-Footed Frogsuit (DNF-090525)
081625,Tex Pastel Romper,Tex Pastel Romper (TPR-081625)
081825,Premium Jumpers,Premium Jumpers (PJ-081825)
090525,Baby Jackets,Baby Jackets (BJ-090525)
090525,Zippered Bamboo Frogsuit,Zippered Bamboo Frogsuit (ZBF-090525)
081625,Rabbit Bear Frogsuit With Headband,Rabbit Bear Frogsuit With Headband (RBFWH-081625)
081825,Rabbit Bear 2-PC Set,Rabbit Bear 2-PC Set (RB2S-081825)
081825,Boys 2-PC Set,Boys 2-PC Set (B2S-081825)
081825,Mini Threads 2-PC Set,Mini Threads 2-PC Set (MT2S-081825)
081825,Mixed 3-PC Set,Mixed 3-PC Set (M3S-081825)
081825,3-PC Set,3-PC Set (3S-081825)
090525,HB Sleeveless Onesie,HB Sleeveless Onesie (HSO-090525)
090525,HB Shortsleeves Onesie,HB Shortsleeves Onesie (HSO-090525)
081625,Rabbit Bear Shortsleeves Onesie,Rabbit Bear Shortsleeves Onesie (RBSO-081625)
090525,Grayson Collective Organic Onesie,Grayson Collective Organic Onesie (GCOO-090525)
082025,Disney Jumper,Disney Jumper (DJ-082025)
090525,Disney 2-PC Set,Disney 2-PC Set (D2S-090525)
081625,Disney Corduroy 2-PC Set,Disney Corduroy 2-PC Set (DC2S-081625)
090525,Baby Pants,Baby Pants (BP-090525)
090525,H&M Sweater,H&M Sweater (HS-090525)
090525,Baby Sweater,Baby Sweater (BS-090525)
081825,Organic Cotton Willow + Whimsy 3-PC Set,Organic Cotton Willow + Whimsy 3-PC Set (OCWW3S-081825)
090525,Baby Bibs 5-PC Set,Baby Bibs 5-PC Set (BB5S-090525)
090525,Bibs,Bibs (B-090525)
090625,Baby Berry Frogsuit,Baby Berry Frogsuit (BBF-090625)
090525,Dymples & Baby Berry Non Footed Frogsuit,Dymples & Baby Berry Non Footed Frogsuit (D&BBNFF-090525)
090625,Milkberry Frogsuit,Milkberry Frogsuit (MF-090625)
090525,Kids Tops & Short,Kids Tops & Short (KT&S-090525)
101625,Bamboo Cotton Non-Footed Frogsuit,Bamboo Cotton Non-Footed Frogsuit (BCNF-101625)
101625,Baby Berry Onesie Romper Sweatshirt,Baby Berry Onesie Romper Sweatshirt (BBORS-101625)
,Milkberry 2-PC Set,Milkberry 2-PC Set (M2S-)
,Milkberry 2-PC Pajama Set,Milkberry 2-PC Pajama Set (M2PS-)
101625,Milkberry 4-PC Pajama Set,Milkberry 4-PC Pajama Set (M4PS-101625)
,Rare Edition 2-PC Set,Rare Edition 2-PC Set (RE2S-)
101625,Disney 5-PC Set,Disney 5-PC Set (D5S-101625)
101625,Milkberry 2-PC Girl Set,Milkberry 2-PC Girl Set (M2GS-101625)
,Disney 2-PC Set,Disney 2-PC Set (D2S-)
101625,H&M Disney Jumpers,H&M Disney Jumpers (HDJ-101625)
101625,H&M Denim Jumpers,H&M Denim Jumpers (HDJ-101625)
101625,Baby Berry/Dymples Tops,Baby Berry/Dymples Tops (BBT-101625)
,Chickpea Tops,Chickpea Tops (CT-)
101625,Disney Vest,Disney Vest (DV-101625)
101625,H&M Organic Shorts,H&M Organic Shorts (HOS-101625)
101625,H&M Shorts,H&M Shorts (HS-101625)
101625,H&M Dress,H&M Dress (HD-101625)
101625,Bear Paw Dress,Bear Paw Dress (BPD-101625)
101725,Baby Socks,Baby Socks (BS-101725)