Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,Shipping Fee 1,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,Shipping Fee 2,Shipping Fee 3,Packaging,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00200,,,,,,050225,,Paid,Rabbit Bear 3-PC Girl Set,,12-24m,set,3.85,48,0.00,58.00,,,,,500.00,200.00,200.00,,252.00,,,,,,
KPC 23930A-00200,,,,,,050225,,Paid,Rabbit Bear 3-PC Boy Set,,12-24m,set,3.85,36,0.00,58.00,,,,,300.00,200.00,200.00,,252.00,,,,,,
KPC 23930A-00199,,,,,,051425,,Paid,Sleeveless Onesie,,0-24m,pc,0.64,665,0.00,58.00,,,,,"1,500.00","1,000.00","1,000.00",,59.00,,,,,,
,,,,,,051725,,,Rabbit+Bear,,,,,,,,,,,,,,,,,,,,,,
,,,,,,052325,,Paid,Baby Berry 2 PC set,,0-24m,set,1.80,648,12.74,60.00,,,,,"3,952.29",548.93,548.93,,155.00,,,,,,
KPC 23930A-00202,,,,,,053125,,Paid,Milkberry Pants,,12m-5T,pc,0.62,142,1.67,60.00,,,,,519.65,72.17,72.17,,59.00,,,,,,
KPC 23930A-00202,,,,,,053125,,Paid,Milkberry Shorts,,12m-5T,pc,0.55,290,2.28,60.00,,,,,707.51,98.27,98.27,,49.00,,,,,,
KPC 23930A-00202,,,,,,052325,,Paid,Banboo Cotton Tops,,12m-5T,pc,0.69,420,3.30,60.00,,,,,"1,024.67",142.31,142.31,,57.00,,,,,,
KPC 23930A-00202,,,,,,052325,,Paid,Milkberry 2-PC Top And Short Set,,12m-5T,pc,1.94,634,12.46,60.00,,,,,"3,866.90",537.07,537.07,,168.00,,,,,,
KPC 23930A-00203,,,,,,052325,,Paid,Milkberry 2-PC Set,,12m-5T,set,1.94,395,9.39,60.00,,,,,"2,971.13",479.21,479.21,,165.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Baby Sweatshirt,,0-24m,pc,1.09,218,1.73,60.00,,,,,546.59,88.16,88.16,,99.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Baby Tops,,0-3T,pc,0.83,13,0.10,60.00,,,,,32.59,5.26,5.26,,75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Pants,,0-18m,pc,0.76,35,0.28,60.00,,,,,87.75,14.15,14.15,,75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Jogger,,0-24m,pc,0.83,96,0.76,60.00,,,,,240.70,38.82,38.82,,75.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On Shorts,,0-24m,pc,0.76,447,3.54,60.00,,,,,"1,120.75",180.77,180.77,,69.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Mixed Tops,,0-3T,pc,0.97,93,0.74,60.00,,,,,233.18,37.61,37.61,,78.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Cotton On & Milky Romper,,0-9m,pc,1.40,30,0.36,60.00,,,,,112.83,18.20,18.20,,125.00,,,,,,
,,,,,,060725,,Paid,Billieblush Poncho Towel,,1T-2T,pc,0.69,11,0.13,60.00,,,,,41.37,6.67,6.67,,85.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Billieblush Romper,,12m-4T,pc,1.24,14,0.17,60.00,,,,,52.65,8.49,8.49,,105.00,,,,,,
KPC 23930A-00203,,,,,,060225,,Paid,Dymples Onesie Dress,,0-24m,pc,1.86,514,4.07,60.00,,,,,"1,288.74",207.86,207.86,,147.00,,,,,,
KPC 23930A-00203,,,,,,071025,,Paid,Yamp Zippered Romper,,0-9m,pc,1.50,37,0.44,60.00,,,,,139.15,22.44,22.44,,99.00,,,,,,
KPC 23930A-00203,,,,,,061225,,Paid,Onesie 3-PC Set,,0-9m,set,2.19,376,11.92,60.00,,,,,"3,770.95",608.22,608.22,,180.00,,,,,,
KPC 23930A-00203,,,,,,060225,,Paid,Ruffled Onesie,,0-9m,pc,0.69,99,0.78,60.00,,,,,248.22,40.04,40.04,,59.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Ruffled Frogsuit,,0-9m,pc,1.64,120,1.90,60.00,,,,,601.75,97.06,97.06,,139.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Ruffled Zippered Frogsuit,,0-9m,pc,1.64,115,1.82,60.00,,,,,576.67,93.01,93.01,,139.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Milkberry 2PC Girl Set,,0-9m,set,1.85,147,2.91,60.00,,,,,921.43,148.62,148.62,,160.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,Guess Frogsuit,,0-9m,pc,1.86,123,2.44,60.00,,,,,770.99,124.35,124.35,,180.00,,,,,,
KPC 23930A-00203,,,,,,053125,,Paid,Nine West 3PC Onesie,,0-9m,pc,2.33,155,4.91,60.00,,,,,"1,554.51",250.73,250.73,,215.00,,,,,,
KPC 23930A-00203,,,,,,060725,,Paid,H&M 2PC Set,,2T-8T,set,2.90,25,0.59,60.00,,,,,188.05,30.33,30.33,,255.00,,,,,,
KPC 23930A-00201,,,,,,032125,,Paid,R+B Frogsuit And Romper Set,,0-9m,pc,2.62,600,12.00,58.00,,,,,"3,000.00","1,500.00","1,500.00",,239.00,,,,,,
KPC 23930A-00201,,,,,,031425,,Paid,Baby Carrier,,0-24,pc,2.76,200,12.00,58.00,,,,,"3,800.00","1,500.00","1,500.00",,250.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Little Beggining Romper,,0-18m,pc,1.39,728,12.00,58.00,,,,,"3,800.00",200.00,200.00,,89.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,4-PC set,,12m,set,3.87,8,2.00,58.00,,,,,500.00,50.00,50.00,,345.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Disney 3-PC set,,0-12m,set,2.49,59,4.00,58.00,,,,,500.00,100.00,100.00,,175.00,,,,,,
KPC 23930A-00201,,,,,,060525,,Paid,Kotton Kandy 3PC- 4PC set,,0-9m,set,2.35,580,12.00,58.00,,,,,"5,900.00","1,000.00","1,000.00",,175.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,Zippered Frogsuit,,0-9m,pc,1.58,1530,29.66,60.00,,,,,"7,868.50","1,513.17","1,513.17",,129.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,Ruffled Sleeveless Onesie,,0-9m,pc,0.73,1437,11.14,60.00,,,,,"2,956.09",568.48,568.48,,64.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Rompers,,2m-4T,pc,1.66,57,0.66,60.00,,,,,175.88,33.82,33.82,,145.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Jumper,,2m-4T,pc,1.10,44,0.34,60.00,,,,,90.51,17.41,17.41,,105.00,,,,,,
,,,,,,060725,,Paid,H&M Organic Polo Shirts,,0-4T,pc,1.10,137,1.59,60.00,,,,,422.74,81.30,81.30,,115.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Polo Set,,1m-4T,set,2.62,157,3.04,60.00,,,,,807.42,155.27,155.27,,225.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Organic Set,,1m-4T,set,2.62,132,2.56,60.00,,,,,678.85,130.55,130.55,,215.00,,,,,,
KPC 23930A-00204,,,,,,060725,,Paid,H&M Long Overalls,,1m-2T,pc,1.10,109,0.00,60.00,,,,,400.00,150.00,150.00,,125.00,,,,,,
KPC 23930A-00205,,,,,,060725,,Paid,Nicole Miller Onesie,,0-9m,pc,0.59,2500,0.00,60.00,,,,,"4,000.00","1,500.00","1,500.00",,58.00,,,,,,
KPC 23930A-00206,,,,,,060725,,Paid,H&M 2-PC Set,,1m-4T,set,2.62,171,4.37,60.00,,,,,"1,115.22",182.23,182.23,,229.00,,,,,,
KPC 23930A-00206,,,,,,070225,,Paid,Milkbery 3-PC Set,,0-9m,set,2.48,299,7.65,60.00,,,,,"1,950.00",318.63,318.63,,210.00,,,,,,
,,,,,,060725,,Paid,H&M Pants,,1m-4T,pc,0.82,373,3.18,60.00,,,,,810.87,132.50,132.50,,85.00,,,,,,
KPC 23930A-00206,,,,,,060725,,Paid,H&M Hoodie Blouse,,6m-4T,pc,0.69,39,0.33,60.00,,,,,84.78,13.85,13.85,,85.00,,,,,,
KPC 23930A-00206,,,,,,070925,,Paid,Chickpea Onesie,,0-9m,pc,0.60,5216,44.47,60.00,,,,,"11,339.13","1,852.80","1,852.80",,45.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear Tops,,0-3T,pc,0.90,2134,17.95,60.00,,,,,"4,960.59","1,181.09","1,181.09",,79.00,,,,,,
KPC 23930A-00210,,,,,,070625,,Paid,Emily Oliver Rompers,,0-24m,pc,1.53,92,1.16,60.00,,,,,320.79,76.38,76.38,,145.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Organic Romper,,0-12m,pc,1.53,38,0.32,60.00,,,,,88.33,21.03,21.03,,145.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear Romper,,0-9m,pc,1.53,113,0.95,60.00,,,,,262.67,62.54,62.54,,139.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Organic Dress,,0-4T,pc,1.32,1010,8.50,60.00,,,,,"2,347.80",559.00,559.00,,119.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear 2-PC Set,,0-24m,set,2.08,70,1.18,60.00,,,,,325.44,77.49,77.49,,179.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear Jumper 2-PC Set,,0-24m,set,2.15,119,2.00,60.00,,,,,553.24,131.72,131.72,,182.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Beart Girls 2-PC Set,,0-3T,set,2.15,302,5.08,60.00,,,,,"1,404.03",334.29,334.29,,188.00,,,,,,
KPC 23930A-00210,,,,,,070525,,Paid,Rabbit Bear Boys 2-PC Set,,0-4T,set,2.15,51,0.86,60.00,,,,,237.10,56.45,56.45,,179.00,,,,,,
KPC 23930A-00209,,,,,,080425,,Paid,Mixed Tops,,0-3T,pc,0.67,329,2.44,60.00,,,,,"1,015.20",126.90,126.90,,65.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,H&M Shorts,,0-4T,pc,0.62,361,2.67,60.00,,,,,"1,113.94",139.24,139.24,,85.00,,,,,,
KPC 23930A-00209,,,,,,070525,,Paid,H&M Baby Jogger,,0-9m,pc,0.56,1148,8.50,60.00,,,,,"3,542.39",442.80,442.80,,74.00,,,,,,
KPC 23930A-00209,,,,,,070525,,Paid,H&M Jogger,,0-9m,pc,0.56,1724,12.77,60.00,,,,,"5,319.76",664.97,664.97,,74.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,H&M Organic Pants,,0-4T,pc,0.84,122,0.90,60.00,,,,,376.46,47.06,47.06,,85.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,H&M Organic Polo,,1m-2T,pc,0.90,63,0.47,60.00,,,,,194.40,24.30,24.30,,110.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Long Sleeves Tops,,0-6T,pc,1.11,358,2.65,60.00,,,,,"1,104.68",138.09,138.09,,95.00,,,,,,
KPC 23930A-00209,,,,,,,,Paid,Rabbit Bear Organic Tops,,2T-4T,pc,0.98,114,0.84,60.00,,,,,351.77,43.97,43.97,,79.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Pants,,0-9m,pc,0.76,112,0.83,60.00,,,,,345.60,43.20,43.20,,74.00,,,,,,
KPC 23930A-00209,,,,,,070525,,Paid,Rabbit Bear Undies,,0-24m,pc,0.42,445,1.65,60.00,,,,,686.57,85.82,85.82,,45.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Shorts,,0-4T,pc,0.76,865,6.41,60.00,,,,,"2,669.14",333.64,333.64,,69.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Long Sleeves Dress,,0-12m,pc,1.39,84,0.93,60.00,,,,,388.80,48.60,48.60,,135.00,,,,,,
KPC 23930A-00209,,,,,,070525,,Paid,Rabbit Bear Quilted Long Sleeves Dress,,0-18m,pc,1.46,224,2.49,60.00,,,,,"1,036.80",129.60,129.60,,135.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Polo,,3m-4T,pc,1.04,135,1.00,60.00,,,,,416.57,52.07,52.07,,110.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,H&M Organic Shorts,,1m-4T,pc,0.76,159,1.18,60.00,,,,,490.63,61.33,61.33,,79.00,,,,,,
KPC 23930A-00209,,,,,,070825,,Paid,Rabbit Bear Jogger & Pants,,12m-4T,pc,0.98,244,1.81,60.00,,,,,752.91,94.11,94.11,,85.00,,,,,,
,,,,,,,,Paid,R+B Pants,,3m-3T,pc,0.98,63,0.47,60.00,,,,,194.40,24.30,24.30,,85.00,,,,,,
KPC 23930A-00207,,,,,,071225,,Paid,Baby Yamp! Onesie,,0-24m,pc,0.62,4328,33.17,60.00,,,,,"5,805.31","1,382.22","1,382.22",,54.00,,,,,,
KPC 23930A-00208,,,,,,071525,,Paid,Chickpea Onesie Batch 2,,0-9m,pc,0.60,3500,26.83,60.00,,,,,"4,694.69","1,117.78","1,117.78",,39.00,,,,,,
KPC 23930A-00207,,,,,,072425,,,Mixed Brands Onesie,,0-24m,pc,0.56,3500,30.00,60.00,,,,,"7,140.00","1,500.00","1,500.00",,39.00,,,,,,
KPC 23930A-00211,,,,,,080725,,,Mixed Brands Onesie,,0-24,pc,0.56,15240,110.00,60.00,,,,,"28,160.00","2,500.00","2,500.00",,37.00,,,,,,
KPC 23930A-00212,,,,,,081625,,,Btween 2-PC Dress,,4T-8T,set,3.62,22,0.65,60.00,,,,,224.78,31.22,31.22,,325.00,,,,,,
KPC 23930A-00212,,,,,,081625,,,Rare Edition 2-PC Set,,3-24m,set,1.86,107,2.37,60.00,,,,,819.92,113.88,113.88,,169.00,,,,,,
KPC 23930A-00212,,,,,,081625,,,H&M 2-PC Set,,4m-4T,set,2.36,46,1.02,60.00,,,,,352.49,48.96,48.96,,235.00,,,,,,
KPC 23930A-00212,,,,,,081625,,,H&M Lace Top & Skirt 2-PC Set,,3T-12T,set,2.78,8,0.18,60.00,,,,,61.30,8.51,8.51,,255.00,,,,,,
KPC 23930A-00212,,,,,,081825,,,H&M Polo And Pants  2-PC Set,,4m-4T,set,2.36,23,0.51,60.00,,,,,176.25,24.48,24.48,,225.00,,,,,,
KPC 23930A-00212,,,,,,090525,,,Disney Non-Footed Frogsuit,,0-24m,pc,1.32,211,3.11,60.00,,,,,"1,077.91",149.71,149.71,,95.00,,,,,,
KPC 23930A-00212,,,,,,081625,,,Tex Pastel Romper,,3m-9m,pc,1.39,48,0.53,60.00,,,,,183.91,25.54,25.54,,119.00,,,,,,
KPC 23930A-00212,,,,,,081825,,,Premium Jumpers,,0-24m,pc,1.04,795,11.73,60.00,,,,,"4,061.30",564.07,564.07,,105.00,,,,,,
KPC 23930A-00212,,,,,,090525,,,Baby Jackets,,0-3T,pc,1.18,613,6.79,60.00,,,,,"2,348.66",326.20,326.20,,125.00,,,,,,
KPC 23930A-00212,,,,,,090525,,,Zippered Bamboo Frogsuit,,0-24m,pc,1.52,272,4.01,60.00,,,,,"1,389.53",192.99,192.99,,129.00,,,,,,
KPC 23930A-00212,,,,,,081625,,,Rabbit Bear Frogsuit With Headband,,0-9m,set,2.52,64,1.42,60.00,,,,,490.42,68.11,68.11,,225.00,,,,,,
KPC 23930A-00212,,,,,,081825,,,Rabbit Bear 2-PC Set,,0-3T,set,2.09,161,3.56,60.00,,,,,"1,233.72",171.35,171.35,,190.00,,,,,,
KPC 23930A-00212,,,,,,081825,,,Boys 2-PC Set,,0-4T,set,2.66,45,1.00,60.00,,,,,344.83,47.89,47.89,,225.00,,,,,,
KPC 23930A-00212,,,,,,081825,,,Mini Threads 2-PC Set,,3m-24m,set,1.82,70,1.55,60.00,,,,,536.40,74.50,74.50,,165.00,,,,,,
KPC 23930A-00212,,,,,,081825,,,Mixed 3-PC Set,,0-24m,set,2.38,279,7.21,60.00,,,,,"2,494.25",346.42,346.42,,215.00,,,,,,
KPC 23930A-00212,,,,,,081825,,,3-PC Set,,0-24,set,2.38,114,2.94,60.00,,,,,"1,019.16",141.55,141.55,,205.00,,,,,,
KPC 23930A-00212,,,,,,090525,,,HB Sleeveless Onesie,,0-18m,pc,0.68,249,1.84,60.00,,,,,636.02,88.34,88.34,,60.00,,,,,,
KPC 23930A-00212,,,,,,090525,,,HB Shortsleeves Onesie,,0-24m,pc,0.68,215,1.59,60.00,,,,,549.17,76.27,76.27,,60.00,,,,,,
KPC 23930A-00213,,,,,,081625,,,Rabbit Bear Shortsleeves Onesie,,0-12m,pc,0.76,771,6.72,60.00,,,,,"3,807.41","1,399.78","1,399.78",,78.00,,,,,,
KPC 23930A-00213,,,,,,090525,,,Grayson Collective Organic Onesie,,0-24m,pc,0.42,41,0.36,60.00,,,,,202.47,74.44,74.44,,60.00,,,,,,
KPC 23930A-00213,,,,,,082025,,,Disney Jumper,,0-24m,pc,1.32,174,2.27,60.00,,,,,"1,288.89",473.86,473.86,,125.00,,,,,,
KPC 23930A-00213,,,,,,090525,,,Disney 2-PC Set,,12m-18m,set,1.89,76,1.32,60.00,,,,,750.62,275.96,275.96,,185.00,,,,,,
KPC 23930A-00213,,,,,,081625,,,Disney Corduroy 2-PC Set,,0-9m,set,2.09,76,1.32,60.00,,,,,750.62,275.96,275.96,,205.00,,,,,,
,,,,,,090525,,,Baby Pants,,12m-4T,pc,0.90,126,0.92,60.00,,,,,242.63,60.66,60.66,,79.00,,,,,,
,,,,,,090525,,,H&M Sweater,,4m-4T,pc,1.25,43,0.31,60.00,,,,,82.80,20.70,20.70,,115.00,,,,,,
,,,,,,090525,,,Baby Sweater,,0-24m,pc,0.76,326,2.39,60.00,,,,,627.77,156.94,156.94,,75.00,,,,,,
,,,,,,081825,,,Organic Cotton Willow + Whimsy 3-PC Set,,0-12m,set,1.76,972,21.34,60.00,,,,,"5,615.25","1,403.81","1,403.81",,159.00,,,,,,
,,,,,,090525,,,Baby Bibs 5-PC Set,,0-9m,pc,1.50,148,2.71,60.00,,,,,712.50,178.12,178.12,,135.00,,,,,,
,,,,,,090525,,,Bibs,,0-24m,pc,0.25,1080,3.95,60.00,,,,,"1,039.86",259.97,259.97,,22.00,,,,,,
,,,,,,090625,,,Baby Berry Frogsuit,,0-24m,pc,1.46,109,1.60,60.00,,,,,419.80,104.95,104.95,,125.00,,,,,,
,,,,,,090525,,,Dymples & Baby Berry Non Footed Frogsuit,,0-24m,pc,1.82,226,3.31,60.00,,,,,870.40,217.60,217.60,,129.00,,,,,,
,,,,,,090625,,,Milkberry Frogsuit,,0-9m,pc,1.46,101,1.48,60.00,,,,,388.99,97.25,97.25,,135.00,,,,,,
,,,,,,090525,,,Kids Tops & Short,,12m-16T,set,4.20,152,12.00,60.00,,,,,"1,500.00","1,000.00","1,000.00",,355.00,,,,,,